,jersey_no,name,role,salary_rank,salary,team,season
0,1,MS Dhoni,Wicketkeeper Batsman,1,"60,000,000",Chennai Super Kings,2008
1,95,Albie Morkel,Allrounder,95,"27,108,000",Chennai Super Kings,2008
2,159,Jacob Oram,Allrounder,159,"27,108,000",Chennai Super Kings,2008
3,4,Suresh Raina,Batsman,4,"26,000,000",Chennai Super Kings,2008
4,119,Muttiah Muralitharan,Bowler,119,"24,000,000",Chennai Super Kings,2008
5,209,Matthew Hayden,Batsman,209,"15,060,000",Chennai Super Kings,2008
6,345,Stephen Fleming,Batsman,345,"14,056,000",Chennai Super Kings,2008
7,88,Parthiv Patel,Wicketkeeper Batsman,88,"13,000,000",Chennai Super Kings,2008
8,121,Michael Hussey,Batsman,121,"10,040,000",Chennai Super Kings,2008
9,257,Joginder Sharma,Bowler,257,"9,000,000",Chennai Super Kings,2008
10,274,Makhaya Ntini,Bowler,274,"8,032,000",Chennai Super Kings,2008
11,502,Chamara Kapugedera,Batsman,502,"4,016,000",Chennai Super Kings,2008
12,576,Vidyut Sivaramakrishnan,Allrounder,576,"1,200,000",Chennai Super Kings,2008
13,236,Manpreet Gony,Bowler,236,"1,200,000",Chennai Super Kings,2008
14,169,Lakshmipathy Balaji,Bowler,169,"1,200,000",Chennai Super Kings,2008
15,15,Ravichandran Ashwin,Allrounder,15,"1,200,000",Chennai Super Kings,2008
16,356,Anirudha Srikkanth,Batsman,356,"1,200,000",Chennai Super Kings,2008
17,153,S Badrinath,Batsman,153,"1,200,000",Chennai Super Kings,2008
18,402,Arun Karthik,Wicketkeeper Batsman,402,"800,000",Chennai Super Kings,2008
19,399,Abhinav Mukund,Batsman,399,"800,000",Chennai Super Kings,2008
20,273,Sudeep Tyagi,Bowler,273,"400,000",Chennai Super Kings,2008
21,780,Suresh Kumar,Allrounder,780,"400,000",Chennai Super Kings,2008
22,740,Viraj Kadbe,Bowler,740,"400,000",Chennai Super Kings,2008
23,739,Palani Amarnath,Bowler,739,"400,000",Chennai Super Kings,2008
24,251,Shadab Jakati,Bowler,251,"400,000",Chennai Super Kings,2008
25,779,Napoleon Einstein,Batsman,779,"400,000",Chennai Super Kings,2008
26,185,Batsman,Batsman,185,"27,000,000",Rajasthan Royals,2008
27,154,Graeme Smith,Batsman,154,"19,076,000",Rajasthan Royals,2008
28,27,Yusuf Pathan,Allrounder,27,"19,000,000",Rajasthan Royals,2008
29,125,Shane Warne,Bowler,125,"18,072,000",Rajasthan Royals,2008
30,133,Munaf Patel,Bowler,133,"11,000,000",Rajasthan Royals,2008
31,386,Younis Khan,Batsman,386,"9,036,000",Rajasthan Royals,2008
32,318,Justin Langer,Batsman,318,"8,032,000",Rajasthan Royals,2008
33,454,Kamran Akmal,Wicketkeeper Batsman,454,"6,000,000",Rajasthan Royals,2008
34,10,Shane Watson,Allrounder,10,"5,020,000",Rajasthan Royals,2008
35,272,Dimitri Mascarenhas,Allrounder,272,"4,016,000",Rajasthan Royals,2008
36,503,Sohail Tanvir,Bowler,503,"4,016,000",Rajasthan Royals,2008
37,111,Morne Morkel,Bowler,111,"2,409,600",Rajasthan Royals,2008
38,534,Mahesh Rawat,Wicketkeeper Batsman,534,"1,200,000",Rajasthan Royals,2008
39,352,Siddharth Trivedi,Bowler,352,"1,200,000",Rajasthan Royals,2008
40,444,Swapnil Asnodkar,Batsman,444,"1,200,000",Rajasthan Royals,2008
41,355,Jaydev Shah,Batsman,355,"1,200,000",Rajasthan Royals,2008
42,535,Dinesh Salunkhe,Bowler,535,"1,200,000",Rajasthan Royals,2008
43,11,Ravindra Jadeja,Allrounder,11,"1,200,000",Rajasthan Royals,2008
44,577,Niraj Patel,Batsman,577,"1,200,000",Rajasthan Royals,2008
45,315,Pankaj Singh,Batsman,315,"1,200,000",Rajasthan Royals,2008
46,674,Darren Lehmann,Batsman,674,"1,200,000",Rajasthan Royals,2008
47,655,Taruwar Kohli,Batsman,655,"1,200,000",Rajasthan Royals,2008
48,659,Parag More,Batsman,659,"800,000",Rajasthan Royals,2008
49,742,Anup Revandkar,Bowler,742,"400,000",Rajasthan Royals,2008
50,781,Sumit Khatri,Bowler,781,"400,000",Rajasthan Royals,2008
51,741,Aditya Angle,Batsman,741,"400,000",Rajasthan Royals,2008
52,8,Yuvraj Singh,Batsman,8,"42,550,000",Kings Xi Punjab,2008
53,36,Irfan Pathan,Allrounder,36,"37,000,000",Kings Xi Punjab,2008
54,100,Brett Lee,Bowler,100,"36,144,000",Kings Xi Punjab,2008
55,93,Kumar Sangakkara,Wicketkeeper Batsman,93,"28,112,000",Kings Xi Punjab,2008
56,118,Shanthakumaran Sreesanth,Bowler,118,"25,000,000",Kings Xi Punjab,2008
57,70,Mahela Jayawardene,Batsman,70,"19,000,000",Kings Xi Punjab,2008
58,24,Piyush Chawla,Allrounder,24,"16,000,000",Kings Xi Punjab,2008
59,202,James Hopes,Allrounder,202,"12,048,000",Kings Xi Punjab,2008
60,387,Ramnaresh Sarwan,Batsman,387,"9,036,000",Kings Xi Punjab,2008
61,319,Simon Katich,Batsman,319,"8,032,000",Kings Xi Punjab,2008
62,245,Ramesh Powar,Bowler,245,"6,800,000",Kings Xi Punjab,2008
63,282,Luke Pomersbach,Batsman,282,"2,008,000",Kings Xi Punjab,2008
64,383,Kyle Mills,Bowler,383,"2,008,000",Kings Xi Punjab,2008
65,120,Shaun Marsh,Batsman,120,"1,204,800",Kings Xi Punjab,2008
66,579,Wilkin Mota,Allrounder,579,"1,200,000",Kings Xi Punjab,2008
67,578,Uday Kaul,Wicketkeeper Batsman,578,"1,200,000",Kings Xi Punjab,2008
68,529,Karan Goel,Batsman,529,"1,200,000",Kings Xi Punjab,2008
69,676,Gagandeep Singh,Bowler,676,"1,200,000",Kings Xi Punjab,2008
70,675,Pankaj Dharmani,Wicketkeeper Batsman,675,"1,200,000",Kings Xi Punjab,2008
71,580,Vikram Singh,Bowler,580,"1,200,000",Kings Xi Punjab,2008
72,449,Tanmay Srivastava,Batsman,449,"1,200,000",Kings Xi Punjab,2008
73,661,Sahil Kukreja,Batsman,661,"800,000",Kings Xi Punjab,2008
74,164,Rishi Dhawan,Allrounder,164,"800,000",Kings Xi Punjab,2008
75,492,Sunny Sohal,Batsman,492,"800,000",Kings Xi Punjab,2008
76,660,Ajitesh Argal,Bowler,660,"800,000",Kings Xi Punjab,2008
77,448,Nitin Saini,Wicketkeeper Batsman,448,"400,000",Kings Xi Punjab,2008
78,37,Virender Sehwag,Batsman,37,"33,350,000",Delhi Daredevils,2008
79,7,Gautam Gambhir,Batsman,7,"29,000,000",Delhi Daredevils,2008
80,89,Manoj Tiwary,Batsman,89,"27,000,000",Delhi Daredevils,2008
81,277,Mohammad Asif,Bowler,277,"26,104,000",Delhi Daredevils,2008
82,129,Daniel Vettori,Allrounder,129,"25,100,000",Delhi Daredevils,2008
83,12,Dinesh Karthik,Wicketkeeper Batsman,12,"21,000,000",Delhi Daredevils,2008
84,300,Shoaib Malik,Batsman,300,"20,080,000",Delhi Daredevils,2008
85,258,Glenn McGrath,Bowler,258,"14,056,000",Delhi Daredevils,2008
86,5,AB de Villiers,Wicketkeeper Batsman,5,"12,048,000",Delhi Daredevils,2008
87,135,Tillakaratne Dilshan,Allrounder,135,"10,040,000",Delhi Daredevils,2008
88,261,Farveez Maharoof,Allrounder,261,"9,036,000",Delhi Daredevils,2008
89,592,Brett Geeves,Bowler,592,"2,008,000",Delhi Daredevils,2008
90,380,Yo Mahesh,Allrounder,380,"1,200,000",Delhi Daredevils,2008
91,271,Pradeep Sangwan,Bowler,271,"1,200,000",Delhi Daredevils,2008
92,46,Amit Mishra,Bowler,46,"1,200,000",Delhi Daredevils,2008
93,311,Mithun Manhas,Allrounder,311,"1,200,000",Delhi Daredevils,2008
94,13,Shikhar Dhawan,Batsman,13,"1,200,000",Delhi Daredevils,2008
95,200,Rajat Bhatia,Allrounder,200,"1,200,000",Delhi Daredevils,2008
96,419,Yogesh Nagar,Allrounder,419,"800,000",Delhi Daredevils,2008
97,743,Mayank Tehlan,Allrounder,743,"800,000",Delhi Daredevils,2008
98,530,Tejashwi Yadav,Batsman,530,"800,000",Delhi Daredevils,2008
99,42,Sachin Tendulkar,Batsman,42,"44,850,000",Mumbai Indians,2008
100,134,Sanath Jayasuriya,Allrounder,134,"39,156,000",Mumbai Indians,2008
101,22,Harbhajan Singh,Bowler,22,"34,000,000",Mumbai Indians,2008
102,9,Robin Uthappa,Batsman,9,"32,000,000",Mumbai Indians,2008
103,293,Shaun Pollock,Allrounder,293,"22,088,000",Mumbai Indians,2008
104,59,Ashish Nehra,Bowler,59,"16,000,000",Mumbai Indians,2008
105,29,Lasith Malinga,Bowler,29,"14,056,000",Mumbai Indians,2008
106,429,Ashwell Prince,Batsman,429,"7,028,000",Mumbai Indians,2008
107,452,Loots Bosman,Batsman,452,"6,024,000",Mumbai Indians,2008
108,33,Dwayne Bravo,Allrounder,33,"6,024,000",Mumbai Indians,2008
109,283,Dilhara Fernando,Bowler,283,"6,024,000",Mumbai Indians,2008
110,114,Dwayne Smith,Allrounder,114,"2,008,000",Mumbai Indians,2008
111,455,Yogesh Takawale,Wicketkeeper Batsman,455,"2,000,000",Mumbai Indians,2008
112,671,Andre Nel,Bowler,671,"1,204,800",Mumbai Indians,2008
113,672,Dominic Thornely,Batsman,672,"1,204,800",Mumbai Indians,2008
114,566,Luke Ronchi,Wicketkeeper Batsman,566,"1,204,800",Mumbai Indians,2008
115,161,Dhawal Kulkarni,Bowler,161,"1,200,000",Mumbai Indians,2008
116,65,Saurabh Tiwary,Batsman,65,"1,200,000",Mumbai Indians,2008
117,403,Pinal Shah,Wicketkeeper Batsman,403,"1,200,000",Mumbai Indians,2008
118,23,Ajinkya Rahane,Batsman,23,"1,200,000",Mumbai Indians,2008
119,678,Rajesh Pawar,Bowler,678,"1,200,000",Mumbai Indians,2008
120,140,Abhishek Nayar,Allrounder,140,"1,200,000",Mumbai Indians,2008
121,677,Musavir Khote,Batsman,677,"1,200,000",Mumbai Indians,2008
122,493,Siddharth Chitnis,Batsman,493,"800,000",Mumbai Indians,2008
123,662,Gaurav Dhiman,Allrounder,662,"800,000",Mumbai Indians,2008
124,434,Ankeet Chavan,Batsman,434,"800,000",Mumbai Indians,2008
125,26,Manish Pandey,Batsman,26,"600,000",Mumbai Indians,2008
126,762,Vikrant Yeligati,Bowler,762,"600,000",Mumbai Indians,2008
127,744,Rohan Raje,Bowler,744,"400,000",Mumbai Indians,2008
128,581,Swapnil Singh,Bowler,581,"400,000",Mumbai Indians,2008
129,108,Sourav Ganguly,Batsman,108,"43,700,000",Kolkata Knight Riders,2008
130,58,Ishant Sharma,Bowler,58,"38,000,000",Kolkata Knight Riders,2008
131,21,Chris Gayle,Allrounder,21,"32,128,000",Kolkata Knight Riders,2008
132,40,Brendon McCullum,Wicketkeeper Batsman,40,"28,112,000",Kolkata Knight Riders,2008
133,60,David Hussey,Allrounder,60,"25,100,000",Kolkata Knight Riders,2008
134,321,Shoaib Akhtar,Bowler,321,"17,068,000",Kolkata Knight Riders,2008
135,162,Murali Kartik,Bowler,162,"17,000,000",Kolkata Knight Riders,2008
136,243,Ricky Ponting,Batsman,243,"16,064,000",Kolkata Knight Riders,2008
137,192,Ajit Agarkar,Bowler,192,"14,000,000",Kolkata Knight Riders,2008
138,453,Umar Gul,Bowler,453,"6,024,000",Kolkata Knight Riders,2008
139,478,Tatenda Taibu,Wicketkeeper Batsman,478,"5,020,000",Kolkata Knight Riders,2008
140,504,Mohammad Hafeez,Allrounder,504,"4,016,000",Kolkata Knight Riders,2008
141,505,Salman Butt,Batsman,505,"4,016,000",Kolkata Knight Riders,2008
142,228,Ajantha Mendis,Bowler,228,"1,204,800",Kolkata Knight Riders,2008
143,166,Brad Hodge,Batsman,166,"1,204,800",Kolkata Knight Riders,2008
144,112,Siddarth Kaul,Bowler,112,"1,200,000",Kolkata Knight Riders,2008
145,97,Wriddhiman Saha,Wicketkeeper Batsman,97,"1,200,000",Kolkata Knight Riders,2008
146,291,Iqbal Abdulla,Allrounder,291,"1,200,000",Kolkata Knight Riders,2008
147,259,Laxmi Shukla,Allrounder,259,"1,200,000",Kolkata Knight Riders,2008
148,167,Ashok Dinda,Bowler,167,"1,200,000",Kolkata Knight Riders,2008
149,487,Debabrata Das,Batsman,487,"1,200,000",Kolkata Knight Riders,2008
150,427,Aakash Chopra,Batsman,427,"1,200,000",Kolkata Knight Riders,2008
151,679,RR Bose,Bowler,679,"1,200,000",Kolkata Knight Riders,2008
152,680,Saurasish Lahiri,Bowler,680,"1,200,000",Kolkata Knight Riders,2008
153,144,Cheteshwar Pujara,Batsman,144,"800,000",Kolkata Knight Riders,2008
154,494,Yashpal Singh,Batsman,494,"800,000",Kolkata Knight Riders,2008
155,745,Rohan Banerjee,Batsman,745,"400,000",Kolkata Knight Riders,2008
156,96,Rahul Dravid,Batsman,96,"41,400,000",Royal Challengers Bangalore,2008
157,53,Jacques Kallis,Allrounder,53,"36,144,000",Royal Challengers Bangalore,2008
158,84,Cameron White,Batsman,84,"20,080,000",Royal Challengers Bangalore,2008
159,197,Anil Kumble,Bowler,197,"20,000,000",Royal Challengers Bangalore,2008
160,186,Mark Boucher,Batsman,186,"18,072,000",Royal Challengers Bangalore,2008
161,57,Zaheer Khan,Bowler,57,"18,000,000",Royal Challengers Bangalore,2008
162,266,Nathan Bracken,Bowler,266,"13,052,000",Royal Challengers Bangalore,2008
163,32,Dale Steyn,Bowler,32,"13,052,000",Royal Challengers Bangalore,2008
164,79,Praveen Kumar,Bowler,79,"12,000,000",Royal Challengers Bangalore,2008
165,407,Shivnarine Chanderpaul,Batsman,407,"8,032,000",Royal Challengers Bangalore,2008
166,357,Wasim Jaffer,Batsman,357,"6,000,000",Royal Challengers Bangalore,2008
167,479,Misbah-ul-Haq,Batsman,479,"5,020,000",Royal Challengers Bangalore,2008
168,98,Ross Taylor,Batsman,98,"4,016,000",Royal Challengers Bangalore,2008
169,593,Abdur Razzak,Bowler,593,"2,008,000",Royal Challengers Bangalore,2008
170,673,Ashley Noffke,Allrounder,673,"1,204,800",Royal Challengers Bangalore,2008
171,212,Shreevats Goswami,Wicketkeeper Batsman,212,"1,200,000",Royal Challengers Bangalore,2008
172,78,Vinay Kumar,Bowler,78,"1,200,000",Royal Challengers Bangalore,2008
173,445,Balachandra Akhil,Bowler,445,"1,200,000",Royal Challengers Bangalore,2008
174,584,Devraj Patil,Wicketkeeper Batsman,584,"1,200,000",Royal Challengers Bangalore,2008
175,3,Virat Kohli,Batsman,3,"1,200,000",Royal Challengers Bangalore,2008
176,582,Jagadeesh Arunkumar,Batsman,582,"1,200,000",Royal Challengers Bangalore,2008
177,583,Sunil Joshi,Allrounder,583,"1,200,000",Royal Challengers Bangalore,2008
178,681,Bharath Chipli,Batsman,681,"1,200,000",Royal Challengers Bangalore,2008
179,565,KP Appanna,Bowler,565,"400,000",Royal Challengers Bangalore,2008
180,782,Neravanda Aiyappa,Bowler,782,"400,000",Royal Challengers Bangalore,2008
181,87,Andrew Symonds,Allrounder,87,"54,216,000",Deccan Chargers,2008
182,102,R.P.Singh,Bowler,102,"35,000,000",Deccan Chargers,2008
183,2,Rohit Sharma,Batsman,2,"30,000,000",Deccan Chargers,2008
184,86,Adam Gilchrist,Wicketkeeper Batsman,86,"28,112,000",Deccan Chargers,2008
185,276,Shahid Afridi,Allrounder,276,"27,108,000",Deccan Chargers,2008
186,177,Herschelle Gibbs,Batsman,177,"23,092,000",Deccan Chargers,2008
187,195,VVS Laxman,Batsman,195,"15,000,000",Deccan Chargers,2008
188,275,Chaminda Vaas,Allrounder,275,"8,032,000",Deccan Chargers,2008
189,250,Scott Styris,Allrounder,250,"7,028,000",Deccan Chargers,2008
190,376,Nuwan Zoysa,Bowler,376,"4,417,600",Deccan Chargers,2008
191,398,Chamara Silva,Batsman,398,"4,016,000",Deccan Chargers,2008
192,156,Pragyan Ojha,Bowler,156,"1,200,000",Deccan Chargers,2008
193,586,Doddapaneni Kalyankrishna,Bowler,586,"1,200,000",Deccan Chargers,2008
194,682,Sanjay Bangar,Allrounder,682,"1,200,000",Deccan Chargers,2008
195,585,Paidikalva Vijaykumar,Bowler,585,"1,200,000",Deccan Chargers,2008
196,382,Dwaraka Ravi Teja,Batsman,382,"1,200,000",Deccan Chargers,2008
197,381,Arjun Yadav,Batsman,381,"1,200,000",Deccan Chargers,2008
198,158,Venugopal Rao,Batsman,158,"1,200,000",Deccan Chargers,2008
199,664,Sarvesh Kumar,Bowler,664,"800,000",Deccan Chargers,2008
200,663,Halhadar Das,Wicketkeeper Batsman,663,"800,000",Deccan Chargers,2008
201,183,Andrew flintoff,Allrounder,183,"76,136,000",Chennai Super Kings,2009
202,1,MS Dhoni,Wicketkeeper Batsman,1,"60,000,000",Chennai Super Kings,2009
203,159,Jacob Oram,Allrounder,159,"33,156,000",Chennai Super Kings,2009
204,95,Albie Morkel,Allrounder,95,"33,156,000",Chennai Super Kings,2009
205,4,Suresh Raina,Batsman,4,"26,000,000",Chennai Super Kings,2009
206,119,Muttiah Muralitharan,Bowler,119,"24,000,000",Chennai Super Kings,2009
207,209,Matthew Hayden,Batsman,209,"18,420,000",Chennai Super Kings,2009
208,88,Parthiv Patel,Wicketkeeper Batsman,88,"13,000,000",Chennai Super Kings,2009
209,274,Makhaya Ntini,Bowler,274,"9,824,000",Chennai Super Kings,2009
210,257,Joginder Sharma,Bowler,257,"9,000,000",Chennai Super Kings,2009
211,349,T Tushara,Bowler,349,"6,876,800",Chennai Super Kings,2009
212,179,George Bailey,Batsman,179,"2,456,000",Chennai Super Kings,2009
213,236,Manpreet Gony,Bowler,236,"1,200,000",Chennai Super Kings,2009
214,169,Lakshmipathy Balaji,Bowler,169,"1,200,000",Chennai Super Kings,2009
215,576,Vidyut Sivaramakrishnan,Allrounder,576,"1,200,000",Chennai Super Kings,2009
216,15,Ravichandran Ashwin,Allrounder,15,"1,200,000",Chennai Super Kings,2009
217,153,S Badrinath,Batsman,153,"1,200,000",Chennai Super Kings,2009
218,56,Murali Vijay,Batsman,56,"1,200,000",Chennai Super Kings,2009
219,402,Arun Karthik,Wicketkeeper Batsman,402,"800,000",Chennai Super Kings,2009
220,739,Palani Amarnath,Bowler,739,"400,000",Chennai Super Kings,2009
221,251,Shadab Jakati,Bowler,251,"400,000",Chennai Super Kings,2009
222,740,Viraj Kadbe,Bowler,740,"400,000",Chennai Super Kings,2009
223,273,Sudeep Tyagi,Bowler,273,"400,000",Chennai Super Kings,2009
224,256,Tyron Henderson,Bowler,256,"31,928,000",Rajasthan Royals,2009
225,185,Mohammad Kaif,Batsman,185,"27,000,000",Rajasthan Royals,2009
226,154,Graeme Smith,Batsman,154,"23,332,000",Rajasthan Royals,2009
227,125,Shane Warne,Bowler,125,"22,104,000",Rajasthan Royals,2009
228,27,Yusuf Pathan,Allrounder,27,"19,000,000",Rajasthan Royals,2009
229,176,Shaun Tait,Bowler,176,"18,420,000",Rajasthan Royals,2009
230,133,Munaf Patel,Bowler,133,"11,000,000",Rajasthan Royals,2009
231,318,Justin Langer,Batsman,318,"9,824,000",Rajasthan Royals,2009
232,10,Shane Watson,Allrounder,10,"6,140,000",Rajasthan Royals,2009
233,272,Dimitri Mascarenhas,Allrounder,272,"4,912,000",Rajasthan Royals,2009
234,111,Morne Morkel,Bowler,111,"2,947,200",Rajasthan Royals,2009
235,666,La Carseldine,Allrounder,666,"1,473,600",Rajasthan Royals,2009
236,667,Rob Quiney,Batsman,667,"1,473,600",Rajasthan Royals,2009
237,139,Johan Botha,Allrounder,139,"1,473,600",Rajasthan Royals,2009
238,352,Siddharth Trivedi,Bowler,352,"1,200,000",Rajasthan Royals,2009
239,577,Niraj Patel,Batsman,577,"1,200,000",Rajasthan Royals,2009
240,11,Ravindra Jadeja,Allrounder,11,"1,200,000",Rajasthan Royals,2009
241,444,Swapnil Asnodkar,Batsman,444,"1,200,000",Rajasthan Royals,2009
242,188,Naman Ojha,Wicketkeeper batsman,188,"1,200,000",Rajasthan Royals,2009
243,534,Mahesh Rawat,Wicketkeeper Batsman,534,"1,200,000",Rajasthan Royals,2009
244,732,Shane Harwood,Bowler,732,"982,400",Rajasthan Royals,2009
245,659,Parag More,Batsman,659,"800,000",Rajasthan Royals,2009
246,401,Paras Dogra,Batsman,401,"800,000",Rajasthan Royals,2009
247,493,Siddharth Chitnis,Batsman,493,"800,000",Rajasthan Royals,2009
248,435,Paul Valthaty,Batsman,435,"800,000",Rajasthan Royals,2009
249,420,Abhishek Raut,Allrounder,420,"800,000",Rajasthan Royals,2009
250,768,Shrideep Mangela,Batsman,768,"600,000",Rajasthan Royals,2009
251,767,Ashraf Makda,Bowler,767,"600,000",Rajasthan Royals,2009
252,428,Amit Singh,Bowler,428,"600,000",Rajasthan Royals,2009
253,766,Atul Sharma,Bowler,766,"600,000",Rajasthan Royals,2009
254,765,Mohammed Arif,Bowler,765,"600,000",Rajasthan Royals,2009
255,764,Abdulahad Malek,Wicketkeeper Batsman,764,"600,000",Rajasthan Royals,2009
256,536,Kamran Khan,Bowler,536,"600,000",Rajasthan Royals,2009
257,472,Raiphi Gomez,Allrounder,472,"600,000",Rajasthan Royals,2009
258,763,Pushkaraj Chavan,Batsman,763,"600,000",Rajasthan Royals,2009
259,783,Gajendra Singh,Bowler,783,"400,000",Rajasthan Royals,2009
260,742,Anup Revandkar,Bowler,742,"400,000",Rajasthan Royals,2009
261,741,Aditya Angle,Batsman,741,"400,000",Rajasthan Royals,2009
262,100,Brett Lee,Bowler,100,"44,208,000",Kings Xi Punjab,2009
263,8,Yuvraj Singh,Batsman,8,"42,550,000",Kings Xi Punjab,2009
264,36,Irfan Pathan,Allrounder,36,"37,000,000",Kings Xi Punjab,2009
265,93,Kumar Sangakkara,Wicketkeeper Batsman,93,"34,384,000",Kings Xi Punjab,2009
266,118,Shanthakumaran Sreesanth,Bowler,118,"25,000,000",Kings Xi Punjab,2009
267,206,Ravi Bopara,Batsman,206,"22,104,000",Kings Xi Punjab,2009
268,70,Mahela Jayawardene,Batsman,70,"19,000,000",Kings Xi Punjab,2009
269,24,Piyush Chawla,Allrounder,24,"16,000,000",Kings Xi Punjab,2009
270,202,James Hopes,Allrounder,202,"14,736,000",Kings Xi Punjab,2009
271,319,Simon Katich,Batsman,319,"9,824,000",Kings Xi Punjab,2009
272,326,Jerome Taylor,Bowler,326,"7,368,000",Kings Xi Punjab,2009
273,245,Ramesh Powar,Bowler,245,"6,800,000",Kings Xi Punjab,2009
274,489,Yusuf Abdulla,Bowler,489,"2,456,000",Kings Xi Punjab,2009
275,282,Luke Pomersbach,Batsman,282,"2,456,000",Kings Xi Punjab,2009
276,120,Shaun Marsh,Batsman,120,"1,473,600",Kings Xi Punjab,2009
277,670,Burt Cockley,Bowler,670,"1,228,000",Kings Xi Punjab,2009
278,529,Karan Goel,Batsman,529,"1,200,000",Kings Xi Punjab,2009
279,580,Vikram Singh,Bowler,580,"1,200,000",Kings Xi Punjab,2009
280,449,Tanmay Srivastava,Batsman,449,"1,200,000",Kings Xi Punjab,2009
281,579,Wilkin Mota,Allrounder,579,"1,200,000",Kings Xi Punjab,2009
282,578,Uday Kaul,Wicketkeeper Batsman,578,"1,200,000",Kings Xi Punjab,2009
283,733,RP Bose,NA,733,"982,400",Kings Xi Punjab,2009
284,492,Sunny Sohal,Batsman,492,"800,000",Kings Xi Punjab,2009
285,661,Sahil Kukreja,Batsman,661,"800,000",Kings Xi Punjab,2009
286,344,Vikramjeet Malik,Bowler,344,"800,000",Kings Xi Punjab,2009
287,746,Ravikant Shukla,Batsman,746,"800,000",Kings Xi Punjab,2009
288,660,Ajitesh Argal,Bowler,660,"800,000",Kings Xi Punjab,2009
289,683,Amanpreet Singh,Bowler,683,"600,000",Kings Xi Punjab,2009
290,655,Taruwar Kohli,Batsman,655,"600,000",Kings Xi Punjab,2009
291,495,Ryan Ninan,Allrounder,495,"600,000",Kings Xi Punjab,2009
292,37,Virender Sehwag,Batsman,37,"33,350,000",Delhi Daredevils,2009
293,129,Daniel Vettori,Allrounder,129,"30,700,000",Delhi Daredevils,2009
294,7,Gautam Gambhir,Batsman,7,"29,000,000",Delhi Daredevils,2009
295,89,Manoj Tiwary,Batsman,89,"27,000,000",Delhi Daredevils,2009
296,12,Dinesh Karthik,Wicketkeeper Batsman,12,"21,000,000",Delhi Daredevils,2009
297,258,Glenn McGrath,Bowler,258,"17,192,000",Delhi Daredevils,2009
298,59,Ashish Nehra,Bowler,59,"16,000,000",Delhi Daredevils,2009
299,5,AB de Villiers,Wicketkeeper Batsman,5,"14,736,000",Delhi Daredevils,2009
300,210,Paul Collingwood,Allrounder,210,"13,508,000",Delhi Daredevils,2009
301,135,Tillakaratne Dilshan,Allrounder,135,"12,280,000",Delhi Daredevils,2009
302,261,Farveez Maharoof,Allrounder,261,"11,052,000",Delhi Daredevils,2009
303,320,Aavishkar Salvi,Bowler,320,"11,000,000",Delhi Daredevils,2009
304,290,Owais Shah,Batsman,290,"1,473,600",Delhi Daredevils,2009
305,343,Andrew McDonald,Allrounder,343,"1,473,600",Delhi Daredevils,2009
306,165,Dirk Nannes,Bowler,165,"1,473,600",Delhi Daredevils,2009
307,16,David Warner,Batsman,16,"1,473,600",Delhi Daredevils,2009
308,271,Pradeep Sangwan,Bowler,271,"1,200,000",Delhi Daredevils,2009
309,50,Umesh Yadav,Bowler,50,"1,200,000",Delhi Daredevils,2009
310,46,Amit Mishra,Bowler,46,"1,200,000",Delhi Daredevils,2009
311,311,Mithun Manhas,Allrounder,311,"1,200,000",Delhi Daredevils,2009
312,380,Yo Mahesh,Allrounder,380,"1,200,000",Delhi Daredevils,2009
313,200,Rajat Bhatia,Allrounder,200,"1,200,000",Delhi Daredevils,2009
314,530,Tejashwi Yadav,Batsman,530,"800,000",Delhi Daredevils,2009
315,419,Yogesh Nagar,Allrounder,419,"800,000",Delhi Daredevils,2009
316,134,Sanath Jayasuriya,Allrounder,134,"47,892,000",Mumbai Indians,2009
317,82,JP Duminy,Allrounder,82,"46,664,000",Mumbai Indians,2009
318,42,Sachin Tendulkar,Batsman,42,"44,850,000",Mumbai Indians,2009
319,22,Harbhajan Singh,Bowler,22,"34,000,000",Mumbai Indians,2009
320,57,Zaheer Khan,Bowler,57,"18,000,000",Mumbai Indians,2009
321,29,Lasith Malinga,Bowler,29,"17,192,000",Mumbai Indians,2009
322,33,Dwayne Bravo,Allrounder,33,"7,368,000",Mumbai Indians,2009
323,283,Dilhara Fernando,Bowler,283,"7,368,000",Mumbai Indians,2009
324,383,Kyle Mills,Bowler,383,"7,368,000",Mumbai Indians,2009
325,528,Mohammad Ashraful,Batsman,528,"3,684,000",Mumbai Indians,2009
326,455,Yogesh Takawale,Wicketkeeper Batsman,455,"2,000,000",Mumbai Indians,2009
327,564,Graham Napier,Allrounder,564,"1,473,600",Mumbai Indians,2009
328,323,Ryan Mclaren,Allrounder,323,"1,473,600",Mumbai Indians,2009
329,566,Luke Ronchi,Wicketkeeper Batsman,566,"1,473,600",Mumbai Indians,2009
330,65,Saurabh Tiwary,Batsman,65,"1,200,000",Mumbai Indians,2009
331,13,Shikhar Dhawan,Batsman,13,"1,200,000",Mumbai Indians,2009
332,403,Pinal Shah,Wicketkeeper Batsman,403,"1,200,000",Mumbai Indians,2009
333,23,Ajinkya Rahane,Batsman,23,"1,200,000",Mumbai Indians,2009
334,140,Abhishek Nayar,Allrounder,140,"1,200,000",Mumbai Indians,2009
335,684,Chetanya Nanda,Bowler,684,"1,200,000",Mumbai Indians,2009
336,355,Jaydev Shah,Batsman,355,"1,200,000",Mumbai Indians,2009
337,161,Dhawal Kulkarni,Bowler,161,"1,200,000",Mumbai Indians,2009
